period_end,factor_id,score,rationale
2021-09-30,management_quality,7.5,公司制定“十四五”发展规划，确定“五线”发展道路，全面开展顶层设计，构建企业治理新体系。
2021-09-30,strategy_soundness,8.0,公司营收破千亿，茅台酒仍是定海神针，系列酒营收快速增长，显示多品牌战略有效性。
2021-09-30,competitive_position,9.0,茅台拥有独一无二的原产地域保护、微生物菌落群、酿造工艺、优质基酒资源“四个核心势能”，库存周转率0.40。
2021-09-30,industry_position,9.5,公司全年营收1094.64亿元，净利润524.60亿元，各项指标保持两位数增长，净利润率47.9%。
2021-09-30,shareholder_reward,9.0,2021年公司分红金额为272+275亿元（含特别分红），持续高额回报股东。
2021-09-30,balance_sheet_health,9.5,"公司现金储备极度充裕（1,786亿元），资产负债率持续降低（16.0%），无有息负债，存货价值持续增长（333亿元）。"
2021-09-30,cash_flow_health,9.0,2021年第三季度经营活动产生的现金流量净额为150.33亿元，显示公司经营活动现金流强劲。
2021-12-31,market_potential,8.0,2021年公司营收破千亿大关，行业复苏，茅台酒需求持续增长，系列酒也快速崛起。
2021-12-31,pricing_power,8.5,2021年飞天茅台出厂价维持在969元，公司通过渠道扁平化（i茅台和直营店）提升净利润率至47.9%。
2021-12-31,branding_power,8.5,茅台品牌持续强势，营收破千亿大关，显示其在消费者心中的地位和市场认可度。
2021-12-31,management_quality,7.5,公司制定“十四五”发展规划，确定“五线”发展道路，全面开展顶层设计，构建企业治理新体系。
2021-12-31,strategy_soundness,8.0,公司营收破千亿，茅台酒仍是定海神针，系列酒营收快速增长，显示多品牌战略有效性。
2021-12-31,competitive_position,9.0,茅台拥有独一无二的原产地域保护、微生物菌落群、酿造工艺、优质基酒资源“四个核心势能”，库存周转率0.40。
2021-12-31,industry_position,9.5,公司全年营收1094.64亿元，净利润524.60亿元，各项指标保持两位数增长，净利润率47.9%。
2021-12-31,shareholder_reward,9.0,2021年公司分红金额为272+275亿元（含特别分红），持续高额回报股东。
2021-12-31,balance_sheet_health,9.5,"公司现金储备极度充裕（1,786亿元），资产负债率持续降低（16.0%），无有息负债，存货价值持续增长（333亿元）。"
2021-12-31,cash_flow_health,9.5,2021年第四季度经营活动产生的现金流量净额为272.76亿元，全年经营活动现金流640亿元，OCF/净利润1.22。
2022-03-31,market_potential,7.0,全国白酒总产量持续下滑，行业进入“存量竞争”，但i茅台上线带动公司营收和利润持续增长。
2022-03-31,pricing_power,8.5,2022年飞天茅台出厂价维持在969元，i茅台上线通过直销模式提升变现能力，净利润率持续提升至49.2%。
2022-03-31,branding_power,8.5,i茅台上线强化消费者触达，进一步巩固品牌形象和市场地位。
2022-03-31,management_quality,8.0,2022年i茅台上线是公司推进直销与数字化渠道、强化消费者触达的重要战略节点。
2022-03-31,strategy_soundness,8.5,i茅台上线是公司直销化战略的关键一步，旨在回收渠道利润，掌握终端数据，并作为品牌“去金融化”的缓冲垫。
2022-03-31,competitive_position,9.0,茅台酒营收持续增长，系列酒茅台1935爆红，拉动产能需求，显示公司在不同价格带的竞争力，库存周转率0.39。
2022-03-31,industry_position,9.5,公司营收和净利润持续增长，净利润率接近50%（49.2%），i茅台上线进一步巩固行业领导地位。
2022-03-31,shareholder_reward,9.0,2022年公司分红金额为325+275亿元（含特别分红），持续高额回报股东。
2022-03-31,balance_sheet_health,9.5,"公司现金储备充裕（1,733亿元），资产负债率极低（15.1%），无有息负债，存货持续增长（388亿元），加码技改。"
2022-03-31,cash_flow_health,7.0,2022年OCF骤降主要是由于财务公司存放同业款项增加及收到的税费返还减少，属于会计处理波动，不影响经营基本面。
2022-06-30,market_potential,7.0,全国白酒总产量持续下滑，行业进入“存量竞争”，但i茅台上线带动公司营收和利润持续增长。
2022-06-30,pricing_power,8.5,2022年飞天茅台出厂价维持在969元，i茅台上线通过直销模式提升变现能力，净利润率持续提升至49.2%。
2022-06-30,branding_power,8.5,i茅台上线强化消费者触达，进一步巩固品牌形象和市场地位。
2022-06-30,management_quality,8.0,2022年i茅台上线是公司推进直销与数字化渠道、强化消费者触达的重要战略节点。
2022-06-30,strategy_soundness,8.5,i茅台上线是公司直销化战略的关键一步，旨在回收渠道利润，掌握终端数据，并作为品牌“去金融化”的缓冲垫。
2022-06-30,competitive_position,9.0,茅台酒营收持续增长，系列酒茅台1935爆红，拉动产能需求，显示公司在不同价格带的竞争力，库存周转率0.39。
2022-06-30,industry_position,9.5,公司营收和净利润持续增长，净利润率接近50%（49.2%），i茅台上线进一步巩固行业领导地位。
2022-06-30,shareholder_reward,9.0,2022年公司分红金额为325+275亿元（含特别分红），持续高额回报股东。
2022-06-30,balance_sheet_health,9.5,"公司现金储备充裕（1,733亿元），资产负债率极低（15.1%），无有息负债，存货持续增长（388亿元），加码技改。"
2022-06-30,cash_flow_health,7.0,2022年OCF骤降主要是由于财务公司存放同业款项增加及收到的税费返还减少，属于会计处理波动，不影响经营基本面。
2022-09-30,market_potential,7.0,全国白酒总产量持续下滑，行业进入“存量竞争”，但i茅台上线带动公司营收和利润持续增长。
2022-09-30,pricing_power,8.5,2022年飞天茅台出厂价维持在969元，i茅台上线通过直销模式提升变现能力，净利润率持续提升至49.2%。
2022-09-30,branding_power,8.5,i茅台上线强化消费者触达，进一步巩固品牌形象和市场地位。
2022-09-30,management_quality,8.0,2022年i茅台上线是公司推进直销与数字化渠道、强化消费者触达的重要战略节点。
2022-09-30,strategy_soundness,8.5,i茅台上线是公司直销化战略的关键一步，旨在回收渠道利润，掌握终端数据，并作为品牌“去金融化”的缓冲垫。
2022-09-30,competitive_position,9.0,茅台酒营收持续增长，系列酒茅台1935爆红，拉动产能需求，显示公司在不同价格带的竞争力，库存周转率0.39。
2022-09-30,industry_position,9.5,公司营收和净利润持续增长，净利润率接近50%（49.2%），i茅台上线进一步巩固行业领导地位。
2022-09-30,shareholder_reward,9.0,2022年公司分红金额为325+275亿元（含特别分红），持续高额回报股东。
2022-09-30,balance_sheet_health,9.5,"公司现金储备充裕（1,733亿元），资产负债率极低（15.1%），无有息负债，存货持续增长（388亿元），加码技改。"
2022-09-30,cash_flow_health,7.0,2022年OCF骤降主要是由于财务公司存放同业款项增加及收到的税费返还减少，属于会计处理波动，不影响经营基本面。
2022-12-31,market_potential,7.0,全国白酒总产量持续下滑，行业进入“存量竞争”，但i茅台上线带动公司营收和利润持续增长。
2022-12-31,pricing_power,8.5,2022年飞天茅台出厂价维持在969元，i茅台上线通过直销模式提升变现能力，净利润率持续提升至49.2%。
2022-12-31,branding_power,8.5,i茅台上线强化消费者触达，进一步巩固品牌形象和市场地位。
2022-12-31,management_quality,8.0,2022年i茅台上线是公司推进直销与数字化渠道、强化消费者触达的重要战略节点。
2022-12-31,strategy_soundness,8.5,i茅台上线是公司直销化战略的关键一步，旨在回收渠道利润，掌握终端数据，并作为品牌“去金融化”的缓冲垫。
2022-12-31,competitive_position,9.0,茅台酒营收持续增长，系列酒茅台1935爆红，拉动产能需求，显示公司在不同价格带的竞争力，库存周转率0.39。
2022-12-31,industry_position,9.5,公司营收和净利润持续增长，净利润率接近50%（49.2%），i茅台上线进一步巩固行业领导地位。
2022-12-31,shareholder_reward,9.0,2022年公司分红金额为325+275亿元（含特别分红），持续高额回报股东。
2022-12-31,balance_sheet_health,9.5,"公司现金储备充裕（1,733亿元），资产负债率极低（15.1%），无有息负债，存货持续增长（388亿元），加码技改。"
2022-12-31,cash_flow_health,7.0,2022年OCF骤降主要是由于财务公司存放同业款项增加及收到的税费返还减少，属于会计处理波动，不影响经营基本面。
2023-03-31,market_potential,8.0,2023年公司再度提价20%，营收和利润持续增长，显示市场对高端白酒的需求韧性。
2023-03-31,pricing_power,9.0,2023年11月1日起，公司再度提价20%，飞天茅台出厂价从969元调至1169元，体现了强大的定价权，净利润率49.6%。
2023-03-31,branding_power,9.0,公司再度提价20%，市场仍能接受，显示其强大的品牌溢价能力和消费者忠诚度。
2023-03-31,management_quality,8.5,公司在2023年11月再度提价，是管理层基于市场供需和品牌价值的战略决策，旨在增厚营收与利润。
2023-03-31,strategy_soundness,8.5,2023年再度提价20%是公司重要的提价动作，有利于增厚营收与利润、体现定价权，茅台酒和系列酒营收均有显著增长。
2023-03-31,competitive_position,9.5,公司再度提价20%仍能保持增长，显示其在高端白酒市场的绝对领导地位和强大的护城河，库存周转率0.37。
2023-03-31,industry_position,9.5,公司再度提价20%，营收和净利润持续增长，净利润率接近50%（49.6%），进一步巩固行业领导地位。
2023-03-31,shareholder_reward,9.0,2023年公司分红金额为388+240亿元（含特别分红），持续高额回报股东。
2023-03-31,balance_sheet_health,9.5,"公司现金储备持续增长（1,935亿元），资产负债率极低（14.8%），无有息负债，存货价值随成本增加上升（424亿元）。"
2023-03-31,cash_flow_health,9.0,2023年经营现金流恢复强劲（666亿元），OCF/净利润接近1（0.89），显示公司现金回补能力优秀。
2023-06-30,market_potential,8.0,2023年公司再度提价20%，营收和利润持续增长，显示市场对高端白酒的需求韧性。
2023-06-30,pricing_power,9.0,2023年11月1日起，公司再度提价20%，飞天茅台出厂价从969元调至1169元，体现了强大的定价权，净利润率49.6%。
2023-06-30,branding_power,9.0,公司再度提价20%，市场仍能接受，显示其强大的品牌溢价能力和消费者忠诚度。
2023-06-30,management_quality,8.5,公司在2023年11月再度提价，是管理层基于市场供需和品牌价值的战略决策，旨在增厚营收与利润。
2023-06-30,strategy_soundness,8.5,2023年再度提价20%是公司重要的提价动作，有利于增厚营收与利润、体现定价权，茅台酒和系列酒营收均有显著增长。
2023-06-30,competitive_position,9.5,公司再度提价20%仍能保持增长，显示其在高端白酒市场的绝对领导地位和强大的护城河，库存周转率0.37。
2023-06-30,industry_position,9.5,公司再度提价20%，营收和净利润持续增长，净利润率接近50%（49.6%），进一步巩固行业领导地位。
2023-06-30,shareholder_reward,9.0,2023年公司分红金额为388+240亿元（含特别分红），持续高额回报股东。
2023-06-30,balance_sheet_health,9.5,"公司现金储备持续增长（1,935亿元），资产负债率极低（14.8%），无有息负债，存货价值随成本增加上升（424亿元）。"
2023-06-30,cash_flow_health,9.0,2023年经营现金流恢复强劲（666亿元），OCF/净利润接近1（0.89），显示公司现金回补能力优秀。
2023-09-30,market_potential,8.0,2023年公司再度提价20%，营收和利润持续增长，显示市场对高端白酒的需求韧性。
2023-09-30,pricing_power,9.0,2023年11月1日起，公司再度提价20%，飞天茅台出厂价从969元调至1169元，体现了强大的定价权，净利润率49.6%。
2023-09-30,branding_power,9.0,公司再度提价20%，市场仍能接受，显示其强大的品牌溢价能力和消费者忠诚度。
2023-09-30,management_quality,8.5,公司在2023年11月再度提价，是管理层基于市场供需和品牌价值的战略决策，旨在增厚营收与利润。
2023-09-30,strategy_soundness,8.5,2023年再度提价20%是公司重要的提价动作，有利于增厚营收与利润、体现定价权，茅台酒和系列酒营收均有显著增长。
2023-09-30,competitive_position,9.5,公司再度提价20%仍能保持增长，显示其在高端白酒市场的绝对领导地位和强大的护城河，库存周转率0.37。
2023-09-30,industry_position,9.5,公司再度提价20%，营收和净利润持续增长，净利润率接近50%（49.6%），进一步巩固行业领导地位。
2023-09-30,shareholder_reward,9.0,2023年公司分红金额为388+240亿元（含特别分红），持续高额回报股东。
2023-09-30,balance_sheet_health,9.5,"公司现金储备持续增长（1,935亿元），资产负债率极低（14.8%），无有息负债，存货价值随成本增加上升（424亿元）。"
2023-09-30,cash_flow_health,9.0,2023年经营现金流恢复强劲（666亿元），OCF/净利润接近1（0.89），显示公司现金回补能力优秀。
2023-12-31,market_potential,8.0,2023年公司再度提价20%，营收和利润持续增长，显示市场对高端白酒的需求韧性。
2023-12-31,pricing_power,9.0,2023年11月1日起，公司再度提价20%，飞天茅台出厂价从969元调至1169元，体现了强大的定价权，净利润率49.6%。
2023-12-31,branding_power,9.0,公司再度提价20%，市场仍能接受，显示其强大的品牌溢价能力和消费者忠诚度。
2023-12-31,management_quality,8.5,公司在2023年11月再度提价，是管理层基于市场供需和品牌价值的战略决策，旨在增厚营收与利润。
2023-12-31,strategy_soundness,8.5,2023年再度提价20%是公司重要的提价动作，有利于增厚营收与利润、体现定价权，茅台酒和系列酒营收均有显著增长。
2023-12-31,competitive_position,9.5,公司再度提价20%仍能保持增长，显示其在高端白酒市场的绝对领导地位和强大的护城河，库存周转率0.37。
2023-12-31,industry_position,9.5,公司再度提价20%，营收和净利润持续增长，净利润率接近50%（49.6%），进一步巩固行业领导地位。
2023-12-31,shareholder_reward,9.0,2023年公司分红金额为388+240亿元（含特别分红），持续高额回报股东。
2023-12-31,balance_sheet_health,9.5,"公司现金储备持续增长（1,935亿元），资产负债率极低（14.8%），无有息负债，存货价值随成本增加上升（424亿元）。"
2023-12-31,cash_flow_health,9.0,2023年经营现金流恢复强劲（666亿元），OCF/净利润接近1（0.89），显示公司现金回补能力优秀。
2024-03-31,market_potential,7.5,全国白酒总产量探底，行业进入存量竞争，但公司净利首破50%，营收持续增长。
2024-03-31,pricing_power,9.0,2024年飞天茅台出厂价维持在1169元，净利润率首次突破50.4%，主要得益于渠道扁平化和直销比例提升。
2024-03-31,branding_power,9.0,净利润率首次突破50%，显示茅台品牌强大的溢价能力和市场认可度。
2024-03-31,management_quality,8.5,2024年基酒产量同比下降1.57%，是管理层为“释放供给稀缺预期”，维持市场价格刚性的主动调减策略。
2024-03-31,strategy_soundness,9.0,2024年基酒减产是公司战略转向的信号，从“量增”到“价增”，通过产品结构调整和渠道回收提升利润。
2024-03-31,competitive_position,9.5,公司净利润率首次突破50%，显示其在高端白酒市场的绝对领导地位，基酒减产是维持稀缺性的战略，库存周转率0.35。
2024-03-31,industry_position,9.5,公司净利润率首次突破50%（50.4%），营收持续增长，进一步巩固行业领导地位和利润分配权。
2024-03-31,shareholder_reward,9.0,2024年公司发布上市23年来的首次注销式回购方案（30-60亿元），标志着转向更积极的“股东价值管理者”。
2024-03-31,balance_sheet_health,9.5,"公司净现金流持续强劲，现金与存货达到历史峰值（货币资金+拆出资金2,150亿元，存货465亿元），资产负债率极低（13.5%），无有息负债。"
2024-03-31,cash_flow_health,9.5,2024年经营现金流预计持续强劲（810亿元），FCF强大（765亿元），OCF/净利润接近1（~0.94）。
2024-06-30,market_potential,7.5,全国白酒总产量探底，行业进入存量竞争，但公司净利首破50%，营收持续增长。
2024-06-30,pricing_power,9.0,2024年飞天茅台出厂价维持在1169元，净利润率首次突破50.4%，主要得益于渠道扁平化和直销比例提升。
2024-06-30,branding_power,9.0,净利润率首次突破50%，显示茅台品牌强大的溢价能力和市场认可度。
2024-06-30,management_quality,8.5,2024年基酒产量同比下降1.57%，是管理层为“释放供给稀缺预期”，维持市场价格刚性的主动调减策略。
2024-06-30,strategy_soundness,9.0,2024年基酒减产是公司战略转向的信号，从“量增”到“价增”，通过产品结构调整和渠道回收提升利润。
2024-06-30,competitive_position,9.5,公司净利润率首次突破50%，显示其在高端白酒市场的绝对领导地位，基酒减产是维持稀缺性的战略，库存周转率0.35。
2024-06-30,industry_position,9.5,公司净利润率首次突破50%（50.4%），营收持续增长，进一步巩固行业领导地位和利润分配权。
2024-06-30,shareholder_reward,9.0,2024年公司发布上市23年来的首次注销式回购方案（30-60亿元），标志着转向更积极的“股东价值管理者”。
2024-06-30,balance_sheet_health,9.5,"公司净现金流持续强劲，现金与存货达到历史峰值（货币资金+拆出资金2,150亿元，存货465亿元），资产负债率极低（13.5%），无有息负债。"
2024-06-30,cash_flow_health,9.5,2024年经营现金流预计持续强劲（810亿元），FCF强大（765亿元），OCF/净利润接近1（~0.94）。
2024-09-30,market_potential,7.5,全国白酒总产量探底，行业进入存量竞争，但公司净利首破50%，营收持续增长。
2024-09-30,pricing_power,9.0,2024年飞天茅台出厂价维持在1169元，净利润率首次突破50.4%，主要得益于渠道扁平化和直销比例提升。
2024-09-30,branding_power,9.0,净利润率首次突破50%，显示茅台品牌强大的溢价能力和市场认可度。
2024-09-30,management_quality,8.5,2024年基酒产量同比下降1.57%，是管理层为“释放供给稀缺预期”，维持市场价格刚性的主动调减策略。
2024-09-30,strategy_soundness,9.0,2024年基酒减产是公司战略转向的信号，从“量增”到“价增”，通过产品结构调整和渠道回收提升利润。
2024-09-30,competitive_position,9.5,公司净利润率首次突破50%，显示其在高端白酒市场的绝对领导地位，基酒减产是维持稀缺性的战略，库存周转率0.35。
2024-09-30,industry_position,9.5,公司净利润率首次突破50%（50.4%），营收持续增长，进一步巩固行业领导地位和利润分配权。
2024-09-30,shareholder_reward,9.0,2024年公司发布上市23年来的首次注销式回购方案（30-60亿元），标志着转向更积极的“股东价值管理者”。
2024-09-30,balance_sheet_health,9.5,"公司净现金流持续强劲，现金与存货达到历史峰值（货币资金+拆出资金2,150亿元，存货465亿元），资产负债率极低（13.5%），无有息负债。"
2024-09-30,cash_flow_health,9.5,2024年经营现金流预计持续强劲（77.99亿元），FCF强大（765亿元），OCF/净利润接近1（~0.94）。
2024-12-31,market_potential,7.5,全国白酒总产量探底，行业进入存量竞争，但公司净利首破50%，营收持续增长。
2024-12-31,pricing_power,9.0,2024年飞天茅台出厂价维持在1169元，净利润率首次突破50.4%，主要得益于渠道扁平化和直销比例提升。
2024-12-31,branding_power,9.0,净利润率首次突破50%，显示茅台品牌强大的溢价能力和市场认可度。
2024-12-31,management_quality,8.5,2024年基酒产量同比下降1.57%，是管理层为“释放供给稀缺预期”，维持市场价格刚性的主动调减策略。
2024-12-31,strategy_soundness,9.0,2024年基酒减产是公司战略转向的信号，从“量增”到“价增”，通过产品结构调整和渠道回收提升利润。
2024-12-31,competitive_position,9.5,公司净利润率首次突破50%，显示其在高端白酒市场的绝对领导地位，基酒减产是维持稀缺性的战略，库存周转率0.35。
2024-12-31,industry_position,9.5,公司净利润率首次突破50%（50.4%），营收持续增长，进一步巩固行业领导地位和利润分配权。
2024-12-31,shareholder_reward,9.0,2024年公司发布上市23年来的首次注销式回购方案（30-60亿元），标志着转向更积极的“股东价值管理者”。
2024-12-31,balance_sheet_health,9.5,"公司净现金流持续强劲，现金与存货达到历史峰值（货币资金+拆出资金2,150亿元，存货465亿元），资产负债率极低（13.5%），无有息负债。"
2024-12-31,cash_flow_health,9.5,2024年经营现金流预计持续强劲（480.42亿元），FCF强大（765亿元），OCF/净利润接近1（~0.94）。
2025-03-31,market_potential,7.0,2025年预计增速换挡至个位数，全国白酒总产量企稳在400万吨左右，茅台仍将通过“挤占”而非“扩容”实现增长。
2025-03-31,pricing_power,8.5,2025年飞天茅台出厂价维持在1169元，但i茅台直销模式和非标产品销售权回收，将持续拉动毛利率和利润转化率，净利润率预计49.0%。
2025-03-31,branding_power,8.0,i茅台用户数突破7600万，非标产品销售额占比提升，公司试图通过i茅台培养年轻人对酱香的“品牌心智”，但用户认为其核心仍是社交礼仪。
2025-03-31,management_quality,8.5,2025年i茅台实现酒类不含税收入约235亿-250亿元，营收占比提升至13%左右，显示管理层在直销化战略上的执行力。
2025-03-31,strategy_soundness,9.0,i茅台回收“非标”销售权，在1499元之上构建2499元（生肖）和3299元（精品）两个价格堡垒，是应对消费降级、提升利润的战略。
2025-03-31,competitive_position,9.0,2025年茅台1935营收预计超150亿，持续挤占五粮液普五和国窖1573的市场份额，显示其跨价格带的竞争力，库存周转率0.32。
2025-03-31,industry_position,9.5,2025年茅台净利润率预计仍接近50%（49.0%），i茅台和1935的成功进一步巩固其在白酒行业的利润占有率和领导地位。
2025-03-31,shareholder_reward,9.0,2024年回购方案已基本实施完毕，市场预期茅台有望建立常态化回购机制，持续回报股东。
2025-03-31,balance_sheet_health,9.5,"2025年现金与存货预计达到历史峰值（货币资金+拆出资金2,300亿元，存货510亿元），资产负债率极低（13.0%），无有息负债，显示极强的财务健康。"
2025-03-31,cash_flow_health,9.5,公司持续保持强劲的经营现金流（88.09亿元）和自由现金流，无需再投资、无债务依赖，是完美的“现金奶牛”。
2025-06-30,market_potential,7.0,2025年预计增速换挡至个位数，全国白酒总产量企稳在400万吨左右，茅台仍将通过“挤占”而非“扩容”实现增长。
2025-06-30,pricing_power,8.5,2025年飞天茅台出厂价维持在1169元，但i茅台直销模式和非标产品销售权回收，将持续拉动毛利率和利润转化率，净利润率预计49.0%。
2025-06-30,branding_power,8.0,i茅台用户数突破7600万，非标产品销售额占比提升，公司试图通过i茅台培养年轻人对酱香的“品牌心智”，但用户认为其核心仍是社交礼仪。
2025-06-30,management_quality,8.5,2025年i茅台实现酒类不含税收入约235亿-250亿元，营收占比提升至13%左右，显示管理层在直销化战略上的执行力。
2025-06-30,strategy_soundness,9.0,i茅台回收“非标”销售权，在1499元之上构建2499元（生肖）和3299元（精品）两个价格堡垒，是应对消费降级、提升利润的战略。
2025-06-30,competitive_position,9.0,2025年茅台1935营收预计超150亿，持续挤占五粮液普五和国窖1573的市场份额，显示其跨价格带的竞争力，库存周转率0.32。
2025-06-30,industry_position,8.5,2025年茅台净利润率预计仍接近50%（49.0%），i茅台和1935的成功进一步巩固其在白酒行业的利润占有率和领导地位。
2025-06-30,shareholder_reward,9.0,2024年回购方案已基本实施完毕，市场预期茅台有望建立常态化回购机制，持续回报股东。
